Accession	host_sci_name	gb_pubmed_id	Segment	strain	gb_length	patent_related	m49_country
KM821819	Homo sapiens	-	L	G1960-SLE-2011	7284	-	SLE
KM821820	Homo sapiens	-	S	G1960-SLE-2011	3401	-	SLE
KM821821	Homo sapiens	-	L	G2141-SLE-2011	7261	-	SLE
KM821822	Homo sapiens	-	S	G2141-SLE-2011	3397	-	SLE
KM821823	Homo sapiens	-	L	G2147-SLE-2011	7325	-	SLE
KM821824	Homo sapiens	-	S	G2147-SLE-2011	3395	-	SLE
KM821825	Homo sapiens	-	L	G2165-SLE-2011	7296	-	SLE
KM821826	Homo sapiens	-	S	G2165-SLE-2011	3398	-	SLE
KM821827	Homo sapiens	-	L	G2184-SLE-2011	7293	-	SLE
KM821828	Homo sapiens	-	S	G2184-SLE-2011	3400	-	SLE
KM821829	Homo sapiens	-	L	G2197-SLE-2011	7241	-	SLE
KM821830	Homo sapiens	-	S	G2197-SLE-2011	3392	-	SLE
KM821831	Homo sapiens	-	L	G2222-SLE-2011	7267	-	SLE
KM821832	Homo sapiens	-	S	G2222-SLE-2011	3393	-	SLE
KM821833	Homo sapiens	-	S	G2230-SLE-2012	3395	-	SLE
KM821834	Homo sapiens	-	L	G2259-SLE-2012	7208	-	SLE
KM821835	Homo sapiens	-	S	G2259-SLE-2012	3397	-	SLE
KM821836	Homo sapiens	-	L	G2263-SLE-2012	7218	-	SLE
KM821837	Homo sapiens	-	S	G2263-SLE-2012	3402	-	SLE
KM821838	Homo sapiens	-	L	G2280-SLE-2012	7296	-	SLE
KM821839	Homo sapiens	-	S	G2280-SLE-2012	3402	-	SLE
KM821840	Homo sapiens	-	L	G2295-SLE-2012	7286	-	SLE
KM821841	Homo sapiens	-	S	G2295-SLE-2012	3400	-	SLE
KM821842	Homo sapiens	-	L	G2315-SLE-2012	7132	-	SLE
KM821843	Homo sapiens	-	S	G2315-SLE-2012	3371	-	SLE
KM821844	Homo sapiens	-	L	G2318-SLE-2012	7281	-	SLE
KM821845	Homo sapiens	-	S	G2318-SLE-2012	3390	-	SLE
KM821846	Homo sapiens	-	L	G2363-SLE-2012	7272	-	SLE
KM821847	Homo sapiens	-	S	G2363-SLE-2012	3396	-	SLE
KM821848	Homo sapiens	-	S	G2384-SLE-2012	3380	-	SLE
KM821849	Homo sapiens	-	L	G2392-SLE-2012	7286	-	SLE
KM821850	Homo sapiens	-	S	G2392-SLE-2012	3400	-	SLE
KM821851	Homo sapiens	-	L	G2405-SLE-2012	7296	-	SLE
KM821852	Homo sapiens	-	S	G2405-SLE-2012	3391	-	SLE
KM821853	Homo sapiens	-	L	G2427-SLE-2012	7164	-	SLE
KM821854	Homo sapiens	-	S	G2427-SLE-2012	3361	-	SLE
KM821855	Homo sapiens	-	L	G2431-SLE-2012	7246	-	SLE
KM821856	Homo sapiens	-	S	G2431-SLE-2012	3402	-	SLE
KM821857	Homo sapiens	-	S	G2511-SLE-2012	3395	-	SLE
KM821858	Homo sapiens	-	L	G2554-SLE-2012	7270	-	SLE
KM821859	Homo sapiens	-	S	G2554-SLE-2012	3399	-	SLE
KM821860	Homo sapiens	-	L	G2557-SLE-2012	7300	-	SLE
KM821861	Homo sapiens	-	S	G2557-SLE-2012	3396	-	SLE
KM821862	Homo sapiens	-	L	G2565-SLE-2012	7292	-	SLE
KM821863	Homo sapiens	-	S	G2565-SLE-2012	3400	-	SLE
KM821864	Homo sapiens	-	L	G2587-SLE-2012	7275	-	SLE
KM821865	Homo sapiens	-	S	G2587-SLE-2012	3395	-	SLE
KM821866	Homo sapiens	-	L	G2612-SLE-2012	7275	-	SLE
KM821867	Homo sapiens	-	S	G2612-SLE-2012	3386	-	SLE
KM821868	Homo sapiens	-	L	G2615-SLE-2012	7131	-	SLE
KM821869	Homo sapiens	-	S	G2615-SLE-2012	3364	-	SLE
KM821870	Homo sapiens	-	L	G2723-SLE-2012	7215	-	SLE
KM821871	Homo sapiens	-	S	G2723-SLE-2012	3373	-	SLE
KM821872	Homo sapiens	-	S	G2789-SLE-2012	3315	-	SLE
KM821873	Homo sapiens	-	L	G2868-SLE-2012	7288	-	SLE
KM821874	Homo sapiens	-	S	G2868-SLE-2012	3402	-	SLE
KM821875	Homo sapiens	-	L	G2903-SLE-2012	7264	-	SLE
KM821876	Homo sapiens	-	S	G2903-SLE-2012	3384	-	SLE
KM821877	Homo sapiens	-	S	G2906-SLE-2012	3382	-	SLE
KM821878	Homo sapiens	-	S	G2934-SLE-2012	3339	-	SLE
KM821879	Homo sapiens	-	L	G2944-SLE-2012	7274	-	SLE
KM821880	Homo sapiens	-	S	G2944-SLE-2012	3393	-	SLE
KM821881	Homo sapiens	-	L	G3010-SLE-2013	7270	-	SLE
KM821882	Homo sapiens	-	S	G3010-SLE-2013	3402	-	SLE
KM821883	Homo sapiens	-	L	G3016-SLE-2013	7276	-	SLE
KM821884	Homo sapiens	-	S	G3016-SLE-2013	3396	-	SLE
KM821885	Homo sapiens	-	S	G3034-SLE-2013	3339	-	SLE
KM821886	Homo sapiens	-	S	G3076-SLE-2013	3267	-	SLE
KM821887	Homo sapiens	-	S	G3101-SLE-2013	3357	-	SLE
KM821888	Homo sapiens	-	L	G3106-SLE-2013	7283	-	SLE
KM821889	Homo sapiens	-	S	G3106-SLE-2013	3396	-	SLE
KM821890	Homo sapiens	-	S	G3110-SLE-2013	3383	-	SLE
KM821891	Homo sapiens	-	L	G3148-SLE-2013	7263	-	SLE
KM821892	Homo sapiens	-	S	G3148-SLE-2013	3392	-	SLE
KM821893	Homo sapiens	-	L	G3151-SLE-2013	7266	-	SLE
KM821894	Homo sapiens	-	S	G3151-SLE-2013	3401	-	SLE
KM821895	Homo sapiens	-	S	G3157-SLE-2013	3296	-	SLE
KM821896	Homo sapiens	-	L	G3170-SLE-2013	7260	-	SLE
KM821897	Homo sapiens	-	S	G3170-SLE-2013	3393	-	SLE
KM821898	Homo sapiens	-	L	G3206-SLE-2013	7284	-	SLE
KM821899	Homo sapiens	-	S	G3206-SLE-2013	3397	-	SLE
KM821900	Homo sapiens	-	S	G3222-SLE-2013	3402	-	SLE
KM821901	Homo sapiens	-	L	G3229-SLE-2013	7279	-	SLE
KM821902	Homo sapiens	-	S	G3229-SLE-2013	3403	-	SLE
KM821903	Homo sapiens	-	L	G3234-SLE-2013	7105	-	SLE
KM821904	Homo sapiens	-	S	G3234-SLE-2013	3348	-	SLE
KM821905	Homo sapiens	-	L	G3248-SLE-2013	7254	-	SLE
KM821906	Homo sapiens	-	S	G3248-SLE-2013	3391	-	SLE
KM821907	Homo sapiens	-	S	G3253-SLE-2013	3307	-	SLE
KM821908	Homo sapiens	-	L	G3278-SLE-2013	7284	-	SLE
KM821909	Homo sapiens	-	S	G3278-SLE-2013	3391	-	SLE
KM821910	Homo sapiens	-	S	G3283-SLE-2013	3269	-	SLE
KM821911	Homo sapiens	-	L	ISTH0009-NIG-2011	7251	-	NGA
KM821912	Homo sapiens	-	S	ISTH0009-NIG-2011	3407	-	NGA
KM821913	Homo sapiens	-	L	ISTH0012-NIG-2011	7253	-	NGA
KM821914	Homo sapiens	-	S	ISTH0012-NIG-2011	3407	-	NGA
KM821915	Homo sapiens	-	L	ISTH0047-NIG-2011	7254	-	NGA
KM821916	Homo sapiens	-	S	ISTH0047-NIG-2011	3407	-	NGA
KM821917	Homo sapiens	-	L	ISTH0073-NIG-2011	7255	-	NGA
KM821918	Homo sapiens	-	S	ISTH0073-NIG-2011	3407	-	NGA
KM821919	Homo sapiens	-	L	ISTH0230-NIG-2011	7228	-	NGA
KM821920	Homo sapiens	-	S	ISTH0230-NIG-2011	3401	-	NGA
KM821921	Homo sapiens	-	L	ISTH0531-NIG-2011	7255	-	NGA
KM821922	Homo sapiens	-	S	ISTH0531-NIG-2011	3407	-	NGA
KM821923	Homo sapiens	-	L	ISTH0595-NIG-2011	7253	-	NGA
KM821924	Homo sapiens	-	S	ISTH0595-NIG-2011	3402	-	NGA
KM821925	Homo sapiens	-	S	ISTH0964-NIG-2011	3397	-	NGA
KM821926	Homo sapiens	-	L	ISTH1003-NIG-2011	7284	-	NGA
KM821927	Homo sapiens	-	S	ISTH1003-NIG-2011	3407	-	NGA
KM821928	Homo sapiens	-	L	ISTH1038-NIG-2011	7252	-	NGA
KM821929	Homo sapiens	-	S	ISTH1038-NIG-2011	3402	-	NGA
KM821930	Homo sapiens	-	L	ISTH1048-NIG-2011	7258	-	NGA
KM821931	Homo sapiens	-	S	ISTH1048-NIG-2011	3409	-	NGA
KM821932	Homo sapiens	-	L	ISTH1058-NIG-2011	7252	-	NGA
KM821933	Homo sapiens	-	S	ISTH1058-NIG-2011	3406	-	NGA
KM821934	Homo sapiens	-	L	ISTH1064-NIG-2011	7258	-	NGA
KM821935	Homo sapiens	-	S	ISTH1064-NIG-2011	3409	-	NGA
KM821936	Homo sapiens	-	L	ISTH1069-NIG-2011	7258	-	NGA
KM821937	Homo sapiens	-	S	ISTH1069-NIG-2011	3408	-	NGA
KM821938	Homo sapiens	-	L	ISTH1096-NIG-2012	7259	-	NGA
KM821939	Homo sapiens	-	S	ISTH1096-NIG-2012	3402	-	NGA
KM821940	Homo sapiens	-	L	ISTH1107-NIG-2012	7254	-	NGA
KM821941	Homo sapiens	-	S	ISTH1107-NIG-2012	3406	-	NGA
KM821942	Homo sapiens	-	L	ISTH1111-NIG-2011	7245	-	NGA
KM821943	Homo sapiens	-	S	ISTH1111-NIG-2011	3407	-	NGA
KM821944	Homo sapiens	-	L	ISTH1121-NIG-2012	7239	-	NGA
KM821945	Homo sapiens	-	S	ISTH1121-NIG-2012	3413	-	NGA
KM821946	Homo sapiens	-	L	ISTH1129-NIG-2012	7257	-	NGA
KM821947	Homo sapiens	-	S	ISTH1129-NIG-2012	3406	-	NGA
KM821948	Homo sapiens	-	L	ISTH1137-NIG-2011	7258	-	NGA
KM821949	Homo sapiens	-	S	ISTH1137-NIG-2011	3403	-	NGA
KM821950	Homo sapiens	-	L	ISTH2010-NIG-2012	7256	-	NGA
KM821951	Homo sapiens	-	S	ISTH2010-NIG-2012	3408	-	NGA
KM821952	Homo sapiens	-	L	ISTH2016-NIG-2012	7261	-	NGA
KM821953	Homo sapiens	-	S	ISTH2016-NIG-2012	3412	-	NGA
KM821954	Homo sapiens	-	L	ISTH2020-NIG-2012	7254	-	NGA
KM821955	Homo sapiens	-	S	ISTH2020-NIG-2012	3408	-	NGA
KM821956	Homo sapiens	-	L	ISTH2025-NIG-2012	7262	-	NGA
KM821957	Homo sapiens	-	S	ISTH2025-NIG-2012	3408	-	NGA
KM821958	Homo sapiens	-	L	ISTH2031-NIG-2012	7259	-	NGA
KM821959	Homo sapiens	-	S	ISTH2031-NIG-2012	3407	-	NGA
KM821960	Homo sapiens	-	L	ISTH2037-NIG-2012	7255	-	NGA
KM821961	Homo sapiens	-	S	ISTH2037-NIG-2012	3407	-	NGA
KM821962	Homo sapiens	-	L	ISTH2042-NIG-2012	7258	-	NGA
KM821963	Homo sapiens	-	S	ISTH2042-NIG-2012	3405	-	NGA
KM821964	Homo sapiens	-	L	ISTH2046-NIG-2012	7243	-	NGA
KM821965	Homo sapiens	-	S	ISTH2046-NIG-2012	3402	-	NGA
KM821966	Homo sapiens	-	L	ISTH2050-NIG-2012	7137	-	NGA
KM821967	Homo sapiens	-	S	ISTH2050-NIG-2012	3402	-	NGA
KM821968	Homo sapiens	-	L	ISTH2057-NIG-2012	7251	-	NGA
KM821969	Homo sapiens	-	S	ISTH2057-NIG-2012	3401	-	NGA
KM821970	Homo sapiens	-	L	ISTH2061-NIG-2012	7258	-	NGA
KM821971	Homo sapiens	-	S	ISTH2061-NIG-2012	3408	-	NGA
KM821972	Homo sapiens	-	S	ISTH2064-NIG-2012	3395	-	NGA
KM821973	Homo sapiens	-	L	ISTH2065-NIG-2012	7116	-	NGA
KM821974	Homo sapiens	-	S	ISTH2065-NIG-2012	3399	-	NGA
KM821975	Homo sapiens	-	L	ISTH2066-NIG-2012	7157	-	NGA
KM821976	Homo sapiens	-	S	ISTH2066-NIG-2012	3406	-	NGA
KM821977	Homo sapiens	-	S	ISTH2069-NIG-2012	3397	-	NGA
KM821978	Homo sapiens	-	L	ISTH2094-NIG-2012	7258	-	NGA
KM821979	Homo sapiens	-	S	ISTH2094-NIG-2012	3410	-	NGA
KM821980	Homo sapiens	-	S	ISTH2121-NIG-2012	3388	-	NGA
KM821981	Homo sapiens	-	L	ISTH2129-NIG-2012	7261	-	NGA
KM821982	Homo sapiens	-	S	ISTH2129-NIG-2012	3408	-	NGA
KM821983	Homo sapiens	-	L	ISTH2217-NIG-2012	7258	-	NGA
KM821984	Homo sapiens	-	S	ISTH2217-NIG-2012	3410	-	NGA
KM821985	Homo sapiens	-	L	ISTH2271-NIG-2012	7209	-	NGA
KM821986	Homo sapiens	-	S	ISTH2271-NIG-2012	3402	-	NGA
KM821987	Homo sapiens	-	L	ISTH2304-NIG-2012	7247	-	NGA
KM821988	Homo sapiens	-	S	ISTH2304-NIG-2012	3402	-	NGA
KM821989	Homo sapiens	-	L	ISTH2312-NIG-2012	7254	-	NGA
KM821990	Homo sapiens	-	S	ISTH2312-NIG-2012	3403	-	NGA
KM821991	Homo sapiens	-	L	ISTH2316-NIG-2012	7165	-	NGA
KM821992	Homo sapiens	-	S	ISTH2316-NIG-2012	3364	-	NGA
KM821993	Homo sapiens	-	L	ISTH2334-NIG-2012	7224	-	NGA
KM821994	Homo sapiens	-	S	ISTH2334-NIG-2012	3376	-	NGA
KM821995	Homo sapiens	-	L	ISTH2358-NIG-2012	7250	-	NGA
KM821996	Homo sapiens	-	S	ISTH2358-NIG-2012	3402	-	NGA
KM821997	Homo sapiens	-	L	ISTH2376-NIG-2012	7245	-	NGA
KM821998	Homo sapiens	-	S	ISTH2376-NIG-2012	3396	-	NGA
KM821999	Homo sapiens	-	L	LASV003-NIG-2008	7252	-	NGA
KM822000	Homo sapiens	-	S	LASV003-NIG-2008	3402	-	NGA
KM822001	Homo sapiens	-	L	LASV006-NIG-2008	7250	-	NGA
KM822002	Homo sapiens	-	S	LASV006-NIG-2008	3398	-	NGA
KM822003	Homo sapiens	-	L	LASV035-NIG-2009	7176	-	NGA
KM822004	Homo sapiens	-	S	LASV035-NIG-2009	3384	-	NGA
KM822005	Homo sapiens	-	L	LASV042-NIG-2009	7236	-	NGA
KM822006	Homo sapiens	-	S	LASV042-NIG-2009	3395	-	NGA
KM822007	Homo sapiens	-	L	LASV045-NIG-2009	7226	-	NGA
KM822008	Homo sapiens	-	S	LASV045-NIG-2009	3387	-	NGA
KM822009	Homo sapiens	-	L	LASV046-NIG-2009	7230	-	NGA
KM822010	Homo sapiens	-	S	LASV046-NIG-2009	3367	-	NGA
KM822011	Homo sapiens	-	L	LASV049-NIG-2009	7244	-	NGA
KM822012	Homo sapiens	-	S	LASV049-NIG-2009	3393	-	NGA
KM822013	Homo sapiens	-	L	LASV052-NIG-2008	7223	-	NGA
KM822014	Homo sapiens	-	S	LASV052-NIG-2008	3386	-	NGA
KM822015	Homo sapiens	-	L	LASV056-NIG-2008	7233	-	NGA
KM822016	Homo sapiens	-	S	LASV056-NIG-2008	3402	-	NGA
KM822017	Homo sapiens	-	L	LASV058-NIG-2008	7244	-	NGA
KM822018	Homo sapiens	-	S	LASV058-NIG-2008	3396	-	NGA
KM822019	Homo sapiens	-	L	LASV063-NIG-2009	7240	-	NGA
KM822020	Homo sapiens	-	S	LASV063-NIG-2009	3397	-	NGA
KM822021	Homo sapiens	-	L	LASV221-NIG-2010	7255	-	NGA
KM822022	Homo sapiens	-	S	LASV221-NIG-2010	3409	-	NGA
KM822023	Homo sapiens	-	S	LASV224-NIG-2010	3405	-	NGA
KM822024	Homo sapiens	-	L	LASV225-NIG-2010	7261	-	NGA
KM822025	Homo sapiens	-	S	LASV225-NIG-2010	3412	-	NGA
KM822026	Homo sapiens	-	L	LASV229-NIG-2010	7266	-	NGA
KM822027	Homo sapiens	-	S	LASV229-NIG-2010	3412	-	NGA
KM822028	Homo sapiens	-	L	LASV237-NIG-2010	7262	-	NGA
KM822029	Homo sapiens	-	S	LASV237-NIG-2010	3410	-	NGA
KM822030	Homo sapiens	-	L	LASV239-NIG-2010	7260	-	NGA
KM822031	Homo sapiens	-	S	LASV239-NIG-2010	3409	-	NGA
KM822032	Homo sapiens	-	L	LASV241-NIG-2011	7261	-	NGA
KM822033	Homo sapiens	-	S	LASV241-NIG-2011	3421	-	NGA
KM822034	Homo sapiens	-	L	LASV242-NIG-2010	7265	-	NGA
KM822035	Homo sapiens	-	S	LASV242-NIG-2010	3413	-	NGA
KM822036	Homo sapiens	-	L	LASV245-NIG-2011	7253	-	NGA
KM822037	Homo sapiens	-	S	LASV245-NIG-2011	3405	-	NGA
KM822038	Homo sapiens	-	L	LASV246-NIG-2010	7257	-	NGA
KM822039	Homo sapiens	-	S	LASV246-NIG-2010	3407	-	NGA
KM822040	Homo sapiens	-	L	LASV250-NIG-2011	7270	-	NGA
KM822041	Homo sapiens	-	S	LASV250-NIG-2011	3408	-	NGA
KM822042	Homo sapiens	-	L	LASV251-NIG-2010	7257	-	NGA
KM822043	Homo sapiens	-	S	LASV251-NIG-2010	3402	-	NGA
KM822044	Homo sapiens	-	L	LASV253-NIG-2011	7264	-	NGA
KM822045	Homo sapiens	-	S	LASV253-NIG-2011	3406	-	NGA
KM822046	Homo sapiens	-	L	LASV254-NIG-2011	7260	-	NGA
KM822047	Homo sapiens	-	S	LASV254-NIG-2011	3412	-	NGA
KM822048	Homo sapiens	-	L	LASV256-NIG-2010	7258	-	NGA
KM822049	Homo sapiens	-	S	LASV256-NIG-2010	3407	-	NGA
KM822050	Homo sapiens	-	L	LASV263-NIG-2011	7259	-	NGA
KM822051	Homo sapiens	-	S	LASV263-NIG-2011	3406	-	NGA
KM822052	Homo sapiens	-	L	LASV267-NIG-2010	7231	-	NGA
KM822053	Homo sapiens	-	S	LASV267-NIG-2010	3406	-	NGA
KM822054	Homo sapiens	-	L	LASV271-NIG-2010	7263	-	NGA
KM822055	Homo sapiens	-	S	LASV271-NIG-2010	3395	-	NGA
KM822056	Homo sapiens	-	L	LASV274-NIG-2010	7255	-	NGA
KM822057	Homo sapiens	-	S	LASV274-NIG-2010	3407	-	NGA
KM822058	Homo sapiens	-	L	LASV711-NIG-2009	7141	-	NGA
KM822059	Homo sapiens	-	S	LASV711-NIG-2009	3383	-	NGA
KM822060	Homo sapiens	-	S	LASV716-NIG-2009	3281	-	NGA
KM822061	Homo sapiens	-	L	LASV719-NIG-2009	7238	-	NGA
KM822062	Homo sapiens	-	S	LASV719-NIG-2009	3396	-	NGA
KM822063	Homo sapiens	-	S	LASV736-NIG-2009	3389	-	NGA
KM822064	Homo sapiens	-	L	LASV737-NIG-2009	7202	-	NGA
KM822065	Homo sapiens	-	S	LASV737-NIG-2009	3393	-	NGA
KM822066	Homo sapiens	-	S	LASV738-NIG-2009	3355	-	NGA
KM822067	Homo sapiens	-	S	LASV746-NIG-2009	3372	-	NGA
KM822068	Homo sapiens	-	L	LASV966-NIG-2009	7247	-	NGA
KM822069	Homo sapiens	-	S	LASV966-NIG-2009	3406	-	NGA
KM822070	Homo sapiens	-	L	LASV967-NIG-2009	7232	-	NGA
KM822071	Homo sapiens	-	S	LASV967-NIG-2009	3386	-	NGA
KM822072	Homo sapiens	-	S	LASV969-NIG-2009	3410	-	NGA
KM822073	Homo sapiens	-	L	LASV971-NIG-2009	7254	-	NGA
KM822074	Homo sapiens	-	S	LASV971-NIG-2009	3407	-	NGA
KM822075	Homo sapiens	-	L	LASV975-NIG-2009	7184	-	NGA
KM822076	Homo sapiens	-	S	LASV975-NIG-2009	3363	-	NGA
KM822077	Homo sapiens	-	L	LASV976-NIG-2009	7223	-	NGA
KM822078	Homo sapiens	-	S	LASV976-NIG-2009	3394	-	NGA
KM822079	Homo sapiens	-	L	LASV977-NIG-2009	7188	-	NGA
KM822080	Homo sapiens	-	S	LASV977-NIG-2009	3353	-	NGA
KM822081	Homo sapiens	-	L	LASV978-NIG-2009	7228	-	NGA
KM822082	Homo sapiens	-	S	LASV978-NIG-2009	3400	-	NGA
KM822083	Homo sapiens	-	L	LASV979-NIG-2009	7213	-	NGA
KM822084	Homo sapiens	-	S	LASV979-NIG-2009	3379	-	NGA
KM822085	Homo sapiens	-	L	LASV981-NIG-2009	7248	-	NGA
KM822086	Homo sapiens	-	S	LASV981-NIG-2009	3403	-	NGA
KM822087	Homo sapiens	-	L	LASV982-NIG-2009	7241	-	NGA
KM822088	Homo sapiens	-	S	LASV982-NIG-2009	3398	-	NGA
KM822089	Homo sapiens	-	S	LASV988-NIG-2009	3362	-	NGA
KM822090	Homo sapiens	-	L	LASV989-NIG-2009	7249	-	NGA
KM822091	Homo sapiens	-	S	LASV989-NIG-2009	3408	-	NGA
KM822092	Homo sapiens	-	L	LASV990-NIG-2009	7199	-	NGA
KM822093	Homo sapiens	-	S	LASV990-NIG-2009	3365	-	NGA
KM822094	Homo sapiens	-	L	LASV991-NIG-2009	7199	-	NGA
KM822095	Homo sapiens	-	S	LASV991-NIG-2009	3372	-	NGA
KM822096	Homo sapiens	-	L	LASV992-NIG-2009	7132	-	NGA
KM822097	Homo sapiens	-	S	LASV992-NIG-2009	3309	-	NGA
KM822098	Homo sapiens	-	L	LASV993-NIG-2009	7217	-	NGA
KM822099	Homo sapiens	-	S	LASV993-NIG-2009	3388	-	NGA
KM822100	Homo sapiens	-	L	LASV1000-NIG-2009	7235	-	NGA
KM822101	Homo sapiens	-	S	LASV1000-NIG-2009	3385	-	NGA
KM822102	Homo sapiens	-	L	LASV1008-NIG-2009	7244	-	NGA
KM822103	Homo sapiens	-	S	LASV1008-NIG-2009	3393	-	NGA
KM822104	Homo sapiens	-	L	LASV1011-NIG-2009	7253	-	NGA
KM822105	Homo sapiens	-	S	LASV1011-NIG-2009	3401	-	NGA
KM822106	Homo sapiens	-	L	LASV1015-NIG-2009	7244	-	NGA
KM822107	Homo sapiens	-	S	LASV1015-NIG-2009	3402	-	NGA
KM822108	Homo sapiens	-	L	LASV1016-NIG-2009	7218	-	NGA
KM822109	Homo sapiens	-	S	LASV1016-NIG-2009	3392	-	NGA
KM822110	Mastomys natalensis	-	L	LM032-SLE-2010	7271	-	SLE
KM822111	Mastomys natalensis	-	S	LM032-SLE-2010	3392	-	SLE
KM822112	Mastomys natalensis	-	L	LM222-SLE-2010	7228	-	SLE
KM822113	Mastomys natalensis	-	S	LM222-SLE-2010	3391	-	SLE
KM822114	Mastomys natalensis	-	L	LM395-SLE-2009	7275	-	SLE
KM822115	Mastomys natalensis	-	S	LM395-SLE-2009	3395	-	SLE
KM822116	Mastomys natalensis	-	L	LM765-SLE-2012	7213	-	SLE
KM822117	Mastomys natalensis	-	S	LM765-SLE-2012	3386	-	SLE
KM822118	Mastomys natalensis	-	S	LM771-SLE-2012	3394	-	SLE
KM822119	Mastomys natalensis	-	L	LM774-SLE-2012	7195	-	SLE
KM822120	Mastomys natalensis	-	S	LM774-SLE-2012	3398	-	SLE
KM822121	Mastomys natalensis	-	L	LM776-SLE-2012	7226	-	SLE
KM822122	Mastomys natalensis	-	S	LM776-SLE-2012	3391	-	SLE
KM822123	Mastomys natalensis	-	L	LM778-SLE-2012	7233	-	SLE
KM822124	Mastomys natalensis	-	S	LM778-SLE-2012	3404	-	SLE
KM822125	Mastomys natalensis	-	L	LM779-SLE-2012	7122	-	SLE
KM822126	Mastomys natalensis	-	S	LM779-SLE-2012	3376	-	SLE
KM822127	-	-	L	Pinneo-NIG-1969	7272	-	NGA
KM822128	-	-	S	Pinneo-NIG-1969	3428	-	NGA
KM822129	Mastomys natalensis	-	L	Z0947-SLE-2011	7286	-	SLE
KM822130	Mastomys natalensis	-	S	Z0947-SLE-2011	3397	-	SLE
KM822131	Mastomys natalensis	-	L	Z0948-SLE-2011	7282	-	SLE
KM822132	Mastomys natalensis	-	S	Z0948-SLE-2011	3395	-	SLE
KP339050	Mastomys natalensis	26911443	-	129	756	-	GIN
KP339051	Mastomys natalensis	26911443	-	132	756	-	GIN
KP339052	Mastomys natalensis	26911443	-	148	756	-	GIN
KP339053	Mastomys natalensis	26911443	-	153	756	-	GIN
KP339054	Mastomys natalensis	26911443	-	170	756	-	GIN
KP339055	Mastomys natalensis	26911443	-	185	756	-	GIN
KP339056	Mastomys natalensis	26911443	-	263	756	-	GIN
KP339057	Mastomys natalensis	26911443	-	289	756	-	GIN
KP339058	Mastomys natalensis	26911443	-	302	756	-	GIN
KP339059	Mastomys natalensis	26911443	-	350	756	-	GIN
KP339060	Mastomys natalensis	26911443	-	353	756	-	GIN
KP339061	Mastomys natalensis	26911443	-	354	756	-	GIN
KP339062	Mastomys natalensis	26911443	-	356	756	-	GIN
KP339063	Mastomys natalensis	26911443	-	366	756	-	GIN
KP339064	Mastomys natalensis	26911443	-	375	756	-	GIN
KP339065	Mastomys natalensis	26911443	-	377	756	-	GIN
KP339066	Mastomys natalensis	26911443	-	378	756	-	GIN
KP339067	Mastomys natalensis	26911443	-	382	756	-	GIN
KP339068	Mastomys natalensis	26911443	-	384	756	-	GIN
KP339069	Mastomys natalensis	26911443	-	390	756	-	GIN
KP339070	Mastomys natalensis	26911443	-	396	756	-	GIN
KP339071	Mastomys natalensis	26911443	-	416	756	-	GIN
KP339072	Mastomys natalensis	26911443	-	417	756	-	GIN
KP339073	Mastomys natalensis	26911443	-	425	756	-	GIN
KP339074	Mastomys natalensis	26911443	-	431	756	-	GIN
KP339075	Mastomys natalensis	26911443	-	444	756	-	GIN
KP339076	Mastomys natalensis	26911443	-	462	756	-	GIN
KP339077	Mastomys natalensis	26911443	-	464	756	-	GIN
KP339078	Mastomys natalensis	26911443	-	471	756	-	GIN
KP339079	Mastomys natalensis	26911443	-	491	756	-	GIN
KP339080	Mastomys natalensis	26911443	-	497	756	-	GIN
KP339081	Mastomys natalensis	26911443	-	686	756	-	GIN
KP339082	Mastomys natalensis	26911443	-	717	756	-	GIN
KP339083	Mastomys natalensis	26911443	-	813	756	-	GIN
KP339084	Mastomys natalensis	26911443	-	817	741	-	GIN
KP339085	Mastomys natalensis	26911443	-	820	756	-	GIN
KP339086	Mastomys natalensis	26911443	-	846	756	-	GIN
KP339087	Mastomys natalensis	26911443	-	903	756	-	GIN
KP339088	Mastomys natalensis	26911443	-	909	756	-	GIN
KP339089	Mastomys natalensis	26911443	-	936	756	-	GIN
KP339090	Mastomys natalensis	26911443	-	939	756	-	GIN
KP339091	Mastomys natalensis	26911443	-	959	756	-	GIN
KP339092	Mastomys natalensis	26911443	-	966	756	-	GIN
KP339093	Mastomys natalensis	26911443	-	987	756	-	GIN
KP339094	Mastomys natalensis	26911443	-	991	756	-	GIN
KP339095	Mastomys natalensis	26911443	-	1007	756	-	GIN
KP339096	Mastomys natalensis	26911443	-	1008	756	-	GIN
KP339097	Mastomys natalensis	26911443	-	1010	756	-	GIN
KP339098	Mastomys natalensis	26911443	-	1011	756	-	GIN
KP339099	Mastomys natalensis	26911443	-	1033	756	-	GIN
KP339100	Mastomys natalensis	26911443	-	1034	756	-	GIN
KP339101	Mastomys natalensis	26911443	-	1066	756	-	GIN
KP339102	Mastomys natalensis	26911443	-	1074	756	-	GIN
KP339103	Mastomys natalensis	26911443	-	1198	756	-	GIN
KP339104	Mastomys natalensis	26911443	-	1207	756	-	GIN
KP339105	Mastomys natalensis	26911443	-	1210	756	-	GIN
KP339106	Mastomys natalensis	26911443	-	1240	756	-	GIN
KP339107	Mastomys natalensis	26911443	-	1241	756	-	GIN
KP339108	Mastomys natalensis	26911443	-	1242	756	-	GIN
KP339109	Mastomys natalensis	26911443	-	1259	734	-	GIN
KP339110	Mastomys natalensis	26911443	-	1276	756	-	GIN
