taxon	sequenceID	pubmed_id	segment	host_sci_name	isolate	country	collection_year
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387471	LC387471	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387473	LC387473	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387475	LC387475	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387477	LC387477	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387479	LC387479	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387481	LC387481	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387483	LC387483	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387485	LC387485	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387487	LC387487	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/LC387489	LC387489	30500827	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MF990886	MF990886	29460758	L	Homo sapiens	-	TGO	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MF990887	MF990887	29460758	L	Homo sapiens	-	TGO	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812630	MG812630	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812633	MG812633	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812634	MG812634	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812637	MG812637	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812638	MG812638	-	L	Homo sapiens	-	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812640	MG812640	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812642	MG812642	-	L	Homo sapiens	-	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812644	MG812644	-	L	Homo sapiens	-	GIN	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812646	MG812646	-	L	Homo sapiens	-	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812649	MG812649	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812651	MG812651	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812652	MG812652	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812654	MG812654	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812656	MG812656	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812659	MG812659	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812660	MG812660	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812662	MG812662	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812664	MG812664	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812666	MG812666	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812668	MG812668	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812671	MG812671	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812672	MG812672	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812674	MG812674	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812676	MG812676	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812678	MG812678	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812680	MG812680	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812682	MG812682	-	L	Homo sapiens	-	SLE	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MG812684	MG812684	-	L	Homo sapiens	-	GIN	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053464	MH053464	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053465	MH053465	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053466	MH053466	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053467	MH053467	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053469	MH053469	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053471	MH053471	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053473	MH053473	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053477	MH053477	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053479	MH053479	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053481	MH053481	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053486	MH053486	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053489	MH053489	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053492	MH053492	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053494	MH053494	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053495	MH053495	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053496	MH053496	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053499	MH053499	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053500	MH053500	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053503	MH053503	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053504	MH053504	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053505	MH053505	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053507	MH053507	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053508	MH053508	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053509	MH053509	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053510	MH053510	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053512	MH053512	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053515	MH053515	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053516	MH053516	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053517	MH053517	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053519	MH053519	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053520	MH053520	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053521	MH053521	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053524	MH053524	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053525	MH053525	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053529	MH053529	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053530	MH053530	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053532	MH053532	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053534	MH053534	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053535	MH053535	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053539	MH053539	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053540	MH053540	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053541	MH053541	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053542	MH053542	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053543	MH053543	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053546	MH053546	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053547	MH053547	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053548	MH053548	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053549	MH053549	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053550	MH053550	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053556	MH053556	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053558	MH053558	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053563	MH053563	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053565	MH053565	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053566	MH053566	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053568	MH053568	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053569	MH053569	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053570	MH053570	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053571	MH053571	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053579	MH053579	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053581	MH053581	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053583	MH053583	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053585	MH053585	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053587	MH053587	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH053590	MH053590	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157026	MH157026	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157027	MH157027	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157029	MH157029	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157031	MH157031	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157033	MH157033	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157036	MH157036	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157040	MH157040	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157042	MH157042	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157043	MH157043	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157047	MH157047	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157048	MH157048	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157049	MH157049	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157051	MH157051	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH157053	MH157053	-	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH215278	MH215278	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH215280	MH215280	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH215282	MH215282	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH215284	MH215284	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH215286	MH215286	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH215288	MH215288	-	L	Homo sapiens	-	LBR	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887898	MH887898	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887899	MH887899	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887900	MH887900	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887901	MH887901	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887902	MH887902	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887903	MH887903	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887904	MH887904	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887905	MH887905	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887906	MH887906	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887907	MH887907	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887908	MH887908	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887909	MH887909	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887910	MH887910	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887911	MH887911	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887912	MH887912	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887913	MH887913	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887914	MH887914	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887915	MH887915	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887916	MH887916	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887917	MH887917	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887918	MH887918	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887919	MH887919	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887920	MH887920	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887921	MH887921	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887922	MH887922	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887923	MH887923	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887924	MH887924	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887925	MH887925	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887926	MH887926	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887927	MH887927	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887928	MH887928	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887929	MH887929	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887930	MH887930	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887931	MH887931	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887932	MH887932	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887933	MH887933	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887934	MH887934	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887935	MH887935	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887936	MH887936	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887937	MH887937	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887938	MH887938	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887939	MH887939	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887940	MH887940	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887941	MH887941	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887942	MH887942	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887943	MH887943	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887944	MH887944	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887945	MH887945	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887946	MH887946	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887947	MH887947	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887948	MH887948	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887949	MH887949	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887950	MH887950	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887951	MH887951	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887952	MH887952	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887953	MH887953	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887954	MH887954	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887955	MH887955	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887956	MH887956	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887957	MH887957	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887958	MH887958	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887959	MH887959	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887960	MH887960	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887961	MH887961	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887962	MH887962	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887963	MH887963	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887964	MH887964	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887965	MH887965	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887966	MH887966	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887967	MH887967	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887968	MH887968	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887969	MH887969	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887970	MH887970	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887971	MH887971	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887972	MH887972	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887973	MH887973	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887974	MH887974	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887975	MH887975	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887976	MH887976	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887977	MH887977	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887978	MH887978	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887979	MH887979	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887980	MH887980	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887981	MH887981	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887982	MH887982	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887983	MH887983	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887984	MH887984	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887985	MH887985	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887986	MH887986	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887987	MH887987	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887988	MH887988	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887989	MH887989	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887990	MH887990	30332564	L	Homo sapiens	-	NGA	-
alignment/AL_Lassa_Segment_L_MASTER/member/ncbi-curated/MH887991	MH887991	30332564	L	Homo sapiens	-	NGA	-
